About the check the following account total:
<built-in method count of list object at 0x1054d0500>
0,beccathegreat15,Public
1,smeholder,Private
2,seth_walch,Private
3,isabella_meares,Public
4,cambradford,Private
5,ssutton87,Private
6,oldchez,Private
7,hannah_turnerr,Public
8,ntw14,Public
9,destinyjnichols,Private
10,skylarevansss,Public
11,jhoward_051112,Private
12,s_stewart0,Private
13,ashh251,Public
14,destinyrichiemua,Public
15,aaronoliver_,Public
16,zozeeebo_11,Private
17,bridgethecoast,Public
18,haley_a_jones,Public
19,saramariewes,DNE
20,caroline_raley,Private
21,nickmeinhardt,Private
22,hayleyjohnson_96,Private
23,tullyhopedunn,Public
24,andrewjdunne,Private
25,frankmontgomeryiv,Private
26,kingweaver33,Public
27,jhead7_,Private
28,monroe_h.2,Private
29,aeazy13,Private
30,itscdjarrell91,Private
31,coreysmith421,Private
32,big_duong,Public
33,ronnieroe51,Private
34,co_queen,Private
35,madhopeofficial,Public
36,emily_danyell,Private
37,lexiallen,Public
38,jacobmoorer,Private
39,heather_0898,Private
40,thechrisautry,DNE
41,_gracienoelle,Private
42,dixie_lanalight,Private
43,emmaa_kait,Public
44,grace_anatomy2,Private
45,meredithfphillips,Private
46,mahaleygrace,Public
47,girardeauanna,Public
48,christenbedsole,Public
49,dylanchapin,Public
50,lmassey3,Public
51,ugh_haley,Public
52,hollyjo_2,Private
53,bronzebeauty_,Public
54,kayleabsimmm,Private
55,angel__shaw,Private
56,jellybeanjeann,Public
57,morgannovay,Private
58,trevor7andrews,Public
59,mark_a_nobody,Public
60,pinkpostofficeboutique,Public
61,cjebrown,Private
62,ceciliavonmann,Private
63,carleynwag,Private
64,malloryg456,Public
65,ebiedouglas,Private
66,paiger_bowen,Private
67,t_whyler,Public
68,yo_mummah,Public
69,aventadorfreak,Public
70,hunterdrinkard,Public
71,raley_shea24,Private
72,_smurrrph_,Private
73,_laurenjohnsonn,Public
74,amanda.keo,Private
75,tinyafternoons,Public
76,hannah_noel22,Private
77,b.rockrare,DNE
78,e_winks117,Public
79,annavictoria10,Private
80,peppk7,Public
81,beradd08,Private
82,tnewburn,Public
83,_terimcduffie_,Private
84,hanlizkelly,Public
85,brandonkiser17,Private
86,laurenlomax12,Public
87,dmcrawley7,Public
88,alexxpenry,Public
89,kristaktaylor,Private
90,kaitlynbf_,Private
91,osborne_eliza,Public
92,carol_bliss_,Public
93,taywuhhh,Public
94,t_sell,Private
95,_haley__rose,Private
96,jrowe_19,Private
97,sdscharmeno,Public
98,kylie_stevens27,Private
99,whitneyblairwilliams,Public
100,ashhleeeeyy,Private
101,citruscane,Public
102,djkrave_,Public
103,shelbyc0011,Public
104,kayladenton,Private
105,__brittni_,Private
106,tarabelltaylor,Private
107,jayyellejayy,Public
108,rhettblake,Public
109,macy_best,Private
110,cantgett_enuff,Public
111,alexandraaagrace_,Private
112,sharonwcox7,Private
113,bossladykatie_,Private
114,gunniiez,Public
115,_abosarge22,Public
116,britttbydesign,Public
117,todd_lamb97,Private
